;Id;Метро;Расстояние до метро;Время до метро;Улица;Дом;Стены;Комнат;Общая площадь;Жилая площадь;Кухня;Этаж;Этажность;Лифт (пасс.);Лифт (груз.);Балкон;Лоджия;С/у (разд.);С/у (совм.);lng;lat;Цена (руб.);валюта цены;Новостройка
468;2578530;Смоленская;600;9;Ружейный переулок;4С3;кирпич;2;62.0;34.0;10.0;4;9;1;1;1;0;1;0;55.743131999999996;37.578765000000004;29,600,000;2;0
469;2581365;Смоленская;680;10;Большой Левшинский переулок;11;не заполнено;7;252.0;150.0;40.0;4;7;2;0;1;0;0;3;55.742164;37.588341;551,877,639;1;0
470;2582772;Маяковская;773;12;Ермолаевский переулок;9;кирпич;5;159.2;104.4;18.0;2;3;0;0;3;1;0;2;55.764551000000004;37.59065;229,469,450;1;0
471;2589014;;0;0;4-й Новомихалковский проезд;8;кирпич;2;44.0;33.0;6.0;2;5;0;0;1;0;0;1;55.842220999999995;37.544557;7,500,000;2;0
472;2589831;Академическая;628;9;улица Ивана Бабушкина;10;не заполнено;4;165.9;95.0;20.0;23;29;1;1;1;0;0;3;55.687426;37.562308;70,770,040;1;0
473;2592243;Алтуфьево;1157;17;Мурановская улица;12;панель;2;55.0;30.0;9.0;8;12;2;0;0;1;1;0;55.89549399999999;37.6039;8,290,000;2;0
474;2597379;Митино;530;8;Дубравная улица;43;панель;3;72.6;45.5;10.0;16;17;1;1;1;0;1;0;55.842873;37.355965000000005;12,200,000;2;0
475;2597388;Шоссе энтузиастов;1411;21;8-я улица Соколиной Горы;8к2;панель;5;174.0;150.0;20.0;1;17;1;1;0;0;1;1;55.76684;37.735395000000004;24,200,000;2;0
476;2597743;Октябрьское поле;2667;40;улица Народного Ополчения;7К3;панель;2;51.0;30.7;8.0;4;17;2;1;0;1;1;0;55.772416;37.473024;10,000,000;2;0
477;2598636;Кропоткинская;727;11;Молочный переулок;1;не заполнено;4;434.0;200.0;60.0;5;6;1;1;0;1;0;4;55.73888;37.602005;828,331,150;1;0
478;2599016;Октябрьское поле;1858;28;улица Маршала Тухачевского;42К1;панель;1;32.0;20.0;6.0;1;9;1;0;0;0;0;1;55.78538199999999;37.468506;6,000,000;2;0
479;2599188;Маяковская;157;2;3-я Тверская-Ямская улица;10;монолит-кирпич;4;212.0;172.0;0.0;6;10;2;0;0;1;0;3;55.771530000000006;37.596992;197,840,100;1;0
480;2600558;Крылатское;1646;25;улица Маршала Тимошенко;17К1;не заполнено;5;170.0;119.2;13.0;7;8;1;1;1;1;2;0;55.745681000000005;37.394709000000006;70,000,000;2;0
481;2602081;Люблино;1821;27;улица Маршала Кожедуба;6к1;панель;2;60.0;34.5;10.0;2;22;1;1;0;1;1;0;55.669107;37.787434999999995;10,500,000;2;0
482;2605274;Полежаевская;3283;49;бульвар Генерала Карбышева;15К1;монолит-кирпич;4;123.6;80.0;30.0;3;30;2;2;3;0;1;2;55.781955;37.469367999999996;36,725,000;2;0
483;2606399;Полянка;387;6;улица Большая Полянка;43С1;монолит;3;127.5;90.0;0.0;5;7;1;0;0;0;0;3;55.733371;37.619683;100,364,784;1;0
484;2607025;Арбатская;372;6;Никитский бульвар;12;кирпич;5;134.0;60.0;12.0;3;7;1;0;1;0;1;0;55.755281999999994;37.600765;47,000,000;2;0
485;2610225;Пушкинская;566;8;Петровский переулок;5С2;монолит;5;157.0;105.4;16.0;3;5;1;0;0;0;0;2;55.766263;37.613314;193,009,200;1;0
486;2611676;Юго-Западная;1458;22;проспект Вернадского;94к2;монолит;3;93.0;65.0;17.0;6;31;2;1;0;0;0;1;55.652795999999995;37.474191999999995;92,619,770;1;0
487;2619123;Лубянка;427;6;Милютинский переулок;3;кирпич;4;100.0;80.0;0.0;5;8;2;0;0;0;0;2;55.761573;37.631469;82,433,375;1;0
488;2620915;Охотный Ряд;622;9;улица Большая Дмитровка;20;кирпич;5;188.0;127.0;22.0;3;5;1;0;0;0;0;3;55.762758;37.613665000000005;77,203,680;1;0
489;2621161;Крылатское;632;9;улица Крылатские Холмы;33к1;не заполнено;4;161.8;54.0;0.0;21;35;2;2;1;0;0;2;55.756786;37.418362;63,693,036;1;0
490;2621925;Баррикадная;691;10;Большая Никитская улица;45;монолит;7;191.8;125.0;16.0;5;7;1;0;0;0;0;0;55.757526;37.590632;321,682,000;1;0
491;2622653;Достоевская;421;6;улица Дурова;3/13;нет данных;3;97.0;65.0;30.0;6;12;2;0;2;0;1;1;55.781108999999994;37.620698;50,056,500;1;0
492;2623375;Пражская;579;9;Кировоградская улица;22к2;монолит;2;92.0;50.0;30.0;17;23;2;2;1;0;2;0;55.616026;37.600244;19,000,000;2;0
493;2624450;Сокол;858;13;Чапаевский переулок;3;монолит-кирпич;4;155.0;107.0;25.0;17;55;1;2;0;0;0;2;55.798480000000005;37.520671;144,237,940;1;0
494;2625696;Кунцевская;864;13;улица Ивана Франко;22К2;кирпич;4;75.0;50.0;10.0;3;5;0;0;1;0;1;0;55.72828199999999;37.433723;12,100,000;2;0
495;2630745;Охотный Ряд;464;7;переулок Брюсов;8-10С1;кирпич;2;61.3;28.8;8.0;6;9;1;0;1;0;1;0;55.759496;37.608868;36,000,000;2;0
496;2630863;Арбатская;432;6;Большой Афанасьевский переулок;32/9;кирпич;4;218.0;96.0;11.0;3;8;0;1;0;1;2;0;55.750403000000006;37.597477000000005;160,841,000;1;0
497;2631070;Строгино;523;8;Таллинская улица;11К1;панель;4;74.0;51.0;10.0;2;12;2;0;0;3;1;0;55.799673999999996;37.398913;15,700,000;2;0
498;2634646;Юго-Западная;331;5;проспект Вернадского;вл78;монолит;2;99.0;57.0;16.0;10;32;2;2;1;0;2;0;55.6673;37.482465999999995;16,000,000;2;0
499;2637912;;0;0;Смоленский бульвар;22/14;нет данных;3;70.0;52.0;8.0;4;8;1;0;2;0;1;0;55.742215;37.585035;46,009,089;3;0
500;2637993;Петровско-Разумовская;293;4;Дмитровское шоссе;32К1;кирпич;3;58.0;42.0;6.0;3;5;0;0;1;0;0;1;55.839037;37.573904999999996;8,000,000;2;0
501;2641421;Спортивная;630;9;3-я Фрунзенская улица;19;кирпич;3;166.3;115.5;22.0;4;9;1;1;0;1;2;0;55.723313;37.571965000000006;331,040,320;1;0
502;2641531;Пушкинская;410;6;Богословский переулок;10С1;монолит-кирпич;4;150.3;140.0;0.0;8;8;1;1;0;0;0;0;55.763153;37.599462;338,441,632;1;0
503;2641789;Деловой центр;302;5;набережная Пресненская;8с1;монолит-кирпич;4;238.9;168.1;0.0;53;73;2;2;0;0;3;0;55.747226;37.538458;302,948,612;1;0
504;2645510;Достоевская;598;9;улица Советской Армии;6;монолит;3;153.6;100.0;0.0;10;12;1;1;0;0;2;1;55.786703;37.617474;93,000,000;2;0
505;2647384;Калужская;718;11;улица Воронцовские Пруды;3;не заполнено;3;138.0;100.0;23.0;23;32;1;1;1;0;0;0;55.664095999999994;37.536516999999996;72,000,000;2;0
506;2647548;Кропоткинская;748;11;Бутиковский переулок;5;не заполнено;7;180.0;126.0;30.0;2;6;1;0;0;0;0;0;55.738622;37.602813;463,222,080;1;0
507;2648622;Октябрьская;820;12;1-й Голутвинский переулок;7;не заполнено;7;235.0;164.0;50.0;2;4;0;0;0;0;0;0;55.736635;37.611131;546,859,400;1;0
508;2648746;Кутузовская;877;13;Кутузовский проспект;25;нет данных;3;63.0;44.0;8.0;11;12;1;0;1;0;1;0;55.743887;37.546776;19,000,000;2;0
509;2648863;;0;0;;;не заполнено;2;71.0;50.0;15.0;2;10;1;1;0;0;1;0;55.75396;37.620393;73,986,860;1;0
510;2649061;Славянский бульвар;972;15;Давыдковская улица;18;не заполнено;7;121.7;85.0;20.0;16;22;2;0;0;0;2;0;55.721027;37.463898;69,676,321;1;0
511;2650013;Парк Победы;269;4;улица Генерала Ермолова;2;нет данных;4;106.0;70.0;10.0;5;9;1;0;1;0;1;0;55.733665;37.519234000000004;29,000,000;2;0
512;2652153;Кропоткинская;323;5;Колымажный переулок;10;монолит;4;170.0;119.0;18.0;2;8;1;0;0;0;2;0;55.748199;37.604403000000005;334,549,280;1;0
513;2653348;Воробьевы горы;626;9;улица Косыгина;19;не заполнено;7;123.0;90.0;12.0;3;6;1;0;0;0;0;0;55.705387;37.549893;166,316,028;1;0
514;2662373;Рязанский проспект;473;7;1-я Новокузьминская улица;3;нет данных;0;86.0;15.0;10.0;3;5;0;0;0;0;0;0;55.716756999999994;37.785234;2,600,000;2;0
515;2664288;Третьяковская;310;5;Лаврушинский переулок;11к1;не заполнено;7;261.0;182.0;35.0;3;7;0;0;0;0;0;0;55.742154000000006;37.621371999999994;334,549,280;1;0
516;2664642;Марьина роща;2339;35;улица Руставели;19;нет данных;2;54.8;33.0;9.0;3;7;1;0;1;0;1;0;55.81385;37.599292;13,550,000;2;0
517;2665385;Университет;1874;28;Мичуринский проспект;7;монолит;3;121.8;85.0;15.0;11;24;0;0;0;0;0;0;55.702881000000005;37.509954;167,274,640;1;0
518;2668038;Арбатская;611;9;Хлыновский тупик;4;не заполнено;4;136.0;95.0;14.0;2;7;2;1;0;0;1;2;55.7578;37.603101;212,310,120;1;0
519;2668599;Чистые пруды;1116;17;Казарменный переулок;3;монолит-кирпич;3;155.0;120.0;20.0;9;10;1;1;1;0;2;0;55.757212;37.649552;231,611,040;1;0
520;2669622;;0;0;Элеваторная улица;8;панель;3;50.0;34.1;6.0;7;9;1;0;1;0;1;0;55.601116000000005;37.658482;5,900,000;2;0
521;2669780;;0;0;Мосфильмовская улица;70к1;не заполнено;7;154.2;107.0;15.0;28;46;0;0;0;0;0;0;55.75396;37.620393;109,371,880;1;0
522;2669905;;0;0;улица Говорова;8К2;нет данных;4;134.1;93.0;14.0;1;5;0;0;0;0;2;0;55.717983999999994;37.397647;18,500,000;2;0
523;2671216;Сухаревская;672;10;Большая Спасская улица;6/1;панель;1;41.7;20.6;8.0;4;12;2;0;0;2;0;1;55.775245999999996;37.64224;23,754,164;1;0
524;2671738;Тургеневская;576;9;Малый Харитоньевский переулок;7С2;кирпич;6;93.4;70.0;7.0;1;3;0;0;0;0;1;0;55.765919;37.645878;20,950,000;2;0
525;2672274;;0;0;улица Липчанского;6;панель;2;65.0;34.0;13.0;7;17;1;1;1;1;1;0;55.704266000000004;37.937391;6,800,000;2;0
526;2672760;Деловой центр;180;3;набережная Пресненская;4А;монолит-кирпич;4;186.0;110.0;14.0;33;62;4;0;0;0;1;2;55.747459;37.540928;107,699,134;1;0
